,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,other_industries,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,total_count_other_industries ,Governor,Party,Abbreviation,date,positive,recovered,death,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease
0,Alabama,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",April 30,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Kay Ivey,Republican,AL,20200625,33206,18866.0,896,5,693.0,2612.0,45
1,Alaska,Reopened,"['Food and drink', 'Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Entertainment']",April 24,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Mike Dunleavy,Republican,AK,20200625,816,513.0,12,0,14.0,,0
2,Arizona,Reopened,"['Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 15,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Doug Ducey,Republican,AZ,20200625,63030,8139.0,1490,27,2453.0,4406.0,93
3,Arkansas,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,0,Asa Hutchinson,Republican,AR,20200625,18062,12127.0,240,0,284.0,1245.0,31
4,California,Reopened,"['Industries', 'Personal care', 'Food and drink', 'Houses of worship', 'Retail', 'Entertainment', 'Outdoor and recreation']",March 19,1,1,1,1,1,1,1,6,"Manufacturing; Warehouses; Offices; Movie, TV and music production",1,1,1,1,0,0,0,0,4,Gavin Newsom,Democratic,CA,20200625,195571,,5733,101,5522.0,,0
5,Colorado,Reopened,"['Personal care', 'Retail', 'Industries', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",April 26,1,1,1,1,1,1,0,6,Offices; Manufacturing,1,0,1,0,0,0,0,0,2,Jared Polis,Democratic,CO,20200625,31155,4392.0,1667,2,247.0,5375.0,9
6,Connecticut,Reopened,"['Retail', 'Personal care', 'Entertainment', 'Industries', 'Outdoor and recreation', 'Food and drink']",May 20,1,1,1,1,1,1,0,6,Offices,0,0,1,0,0,0,0,0,1,Ned Lamont,Democratic,CT,20200625,45994,8053.0,4298,11,122.0,10268.0,169
7,Delaware,Reopened,"['Food and drink', 'Outdoor and recreation', 'Retail', 'Entertainment', 'Personal care']",May 31,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,John C. Carney Jr.,Democratic,DE,20200625,10980,6646.0,507,2,93.0,,0
8,District of Columbia,Reopened,"['Outdoor and recreation', 'Personal care', 'Entertainment', 'Food and drink', 'Retail', 'Houses of worship']",May 29,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,,,DC,20200625,10159,1182.0,543,2,157.0,,0
9,Florida,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Entertainment', 'Personal care', 'Retail', 'Food and drink']",May 4,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Ron DeSantis,Republican,FL,20200625,114018,,3423,46,,14068.0,203
10,Georgia,Reopened,"['Outdoor and recreation', 'Entertainment', 'Personal care', 'Food and drink', 'Entertainment']",April 30,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,0,Brian Kemp,Republican,GA,20200625,71095,,2745,47,1135.0,10457.0,144
11,Hawaii,Reopened,"['Outdoor and recreation', 'Retail', 'Personal care', 'Industries', 'Houses of worship', 'Food and drink']",May 31,1,1,1,1,0,1,1,5,Construction in some areas; Offices in some areas,0,0,1,0,0,1,0,0,2,David Ige,Democratic,HI,20200625,835,686.0,17,0,,105.0,1
12,Idaho,Reopened,"['Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment']",April 30,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Brad Little,Republican,ID,20200625,4645,3610.0,90,1,,300.0,2
13,Illinois,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Retail', 'Industries', 'Food and drink', 'Entertainment']",May 29,1,1,1,1,1,1,0,6,Manufacturing; Offices,1,0,1,0,0,0,0,0,2,J.B. Pritzker,Democratic,IL,20200625,140434,,7014,40,1626.0,,0
14,Indiana,Reopened,"['Entertainment', 'Industries', 'Houses of worship', 'Retail', 'Food and drink', 'Personal care', 'Outdoor and recreation']",May 4,1,1,1,1,1,1,1,6,"Manufacturing, offices",1,0,1,0,0,0,0,0,2,Eric Holcomb,Republican,IN,20200625,43655,33036.0,2586,8,723.0,6912.0,29
15,Iowa,Reopened,"['Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Personal care', 'Food and drink', 'Retail']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Kim Reynolds,Republican,IA,20200625,27197,17017.0,695,3,137.0,,0
16,Kansas,Reopened,"['Food and drink', 'Retail', 'Houses of worship', 'Industries', 'Personal care', 'Outdoor and recreation', 'Entertainment']",May 3,1,1,1,1,1,1,1,6,Offices,0,0,1,0,0,0,0,0,1,Laura Kelly,Democratic,KS,20200625,12970,747.0,261,0,,1082.0,0
