,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,other_industries,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,total_count_other_industries,Governor,Party,Abbreviation,date_covid_cases_data,total_cases,recovered,death,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,date_state_reopening_data
0,Alaska,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",April 24,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Mike Dunleavy,Republican,AK,20200628,883,521.0,14,0,12.0,,0,20200626
1,Iowa,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Kim Reynolds,Republican,IA,20200628,28489,17620.0,705,1,118.0,,0,20200626
2,Kansas,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 3,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Laura Kelly,Democratic,KS,20200628,13538,779.0,264,0,,1128.0,0,20200626
3,Mississippi,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",April 27,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Tate Reeves,Republican,MS,20200628,25892,17242.0,1039,4,676.0,3102.0,24,20200626
4,Missouri,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 3,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Mike Parson,Republican,MO,20200628,20575,,997,1,412.0,,0,20200626
5,Oklahoma,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",Did not have a statewide stay-at-home order.,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Kevin Stitt,Republican,OK,20200628,12994,9397.0,385,1,329.0,1456.0,16,20200626
6,South Dakota,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Kristi L. Noem,Republican,SD,20200628,6681,5752.0,91,0,75.0,652.0,7,20200626
7,Wisconsin,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation']",May 13,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Tony Evers,Democratic,WI,20200628,30707,21953.0,777,0,239.0,3393.0,11,20200626
8,Alabama,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",April 30,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Kay Ivey,Republican,AL,20200628,35441,18866.0,919,0,655.0,2703.0,6,20200626
9,Arizona,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Doug Ducey,Republican,AZ,20200628,73908,8926.0,1588,9,2691.0,4617.0,22,20200626
10,California,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",March 19,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Gavin Newsom,Democratic,CA,20200628,211243,,5905,33,5956.0,,0,20200626
11,Colorado,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Entertainment']",April 26,1,1,1,1,1,1,1,6,Offices; Manufacturing,1,0,1,0,0,0,0,0,2,Jared Polis,Democratic,CO,20200628,32022,4442.0,1674,1,235.0,5399.0,7,20200626
12,Connecticut,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Food and drink']",May 20,1,1,1,1,1,1,1,6,Offices,0,0,1,0,0,0,0,0,1,Ned Lamont,Democratic,CT,20200628,46303,8053.0,4316,5,103.0,10268.0,0,20200626
13,District of Columbia,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Entertainment']",May 29,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,,,DC,20200628,10248,1199.0,550,2,126.0,,0,20200626
14,Georgia,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Entertainment']",April 30,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Brian Kemp,Republican,GA,20200628,77210,,2778,2,1236.0,10711.0,22,20200626
15,Hawaii,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 31,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,David Ige,Democratic,HI,20200628,872,714.0,18,1,,110.0,1,20200626
16,Illinois,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 29,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,J.B. Pritzker,Democratic,IL,20200628,142776,,7089,15,1464.0,,0,20200626
17,Indiana,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Entertainment']",May 4,1,1,1,1,1,1,1,6,"Manufacturing, offices",1,0,1,0,0,0,0,0,2,Eric Holcomb,Republican,IN,20200628,44930,33935.0,2619,3,617.0,7003.0,21,20200626
18,Kentucky,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Food and drink', 'Entertainment', 'Outdoor and recreation']",March 26,1,1,1,1,1,1,1,6,"Manufacturing, construction, offices",1,0,1,0,0,1,0,0,3,Andy Beshear,Democratic,KY,20200628,15232,3730.0,558,5,386.0,2590.0,1,20200626
19,Maine,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation', 'Personal care', 'Entertainment']",May 31,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Janet T. Mills,Democratic,ME,20200628,3191,2577.0,104,0,31.0,346.0,1,20200626
20,Maryland,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Food and drink', 'Entertainment']",May 15,1,1,1,1,1,1,1,6,"Manufacturing; Construction, offices",1,0,1,0,0,1,0,0,3,Larry Hogan,Republican,MD,20200628,66777,4976.0,3168,11,446.0,10793.0,42,20200626
21,Massachusetts,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation', 'Industries', 'Food and drink', 'Entertainment', 'Outdoor and recreation']",May 18,1,1,1,1,1,1,1,6,"Construction, manufacturing; Offices; Hotels, lodging",1,0,1,0,0,1,0,1,4,Charles D. Baker,Republican,MA,20200628,108667,,8060,19,748.0,11319.0,9,20200626
22,Minnesota,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 17,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Tim Walz,Democratic,MN,20200628,35549,30809.0,1460,8,288.0,4010.0,24,20200626
23,Montana,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",April 26,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Steve Bullock,Democratic,MT,20200628,863,604.0,22,0,11.0,97.0,2,20200626
24,Nebraska,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Pete Ricketts,Republican,NE,20200628,18775,13053.0,267,1,123.0,1315.0,3,20200626
25,New Hampshire,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Entertainment']",June 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Chris Sununu,Republican,NH,20200628,5717,4401.0,367,2,35.0,562.0,1,20200626
26,New Jersey,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Retail', 'Food and drink', 'Entertainment', 'Outdoor and recreation']",June 9,1,1,1,1,1,1,1,6,Construction,0,0,0,0,0,1,0,0,1,Phil Murphy,Democratic,NJ,20200628,171182,30092.0,14975,27,1014.0,19841.0,18,20200626
27,New York,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Entertainment', 'Outdoor and recreation']",May 28,1,1,1,1,1,1,1,6,"Construction, manufacturing; Offices; Film and TV production in some regions",1,0,1,1,0,1,0,0,4,Andrew Cuomo,Democratic,NY,20200628,392539,70010.0,24835,5,869.0,89995.0,0,20200626
28,North Dakota,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Doug Burgum,Republican,ND,20200628,3495,3139.0,88,1,24.0,226.0,1,20200626
29,Ohio,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 29,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Richard Michael DeWine,Republican,OH,20200628,50309,,2807,3,661.0,7681.0,57,20200626
30,Pennsylvania,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",June 4,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Tom Wolf,Democratic,PA,20200628,85496,66686.0,6579,0,648.0,,0,20200626
31,Rhode Island,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation', 'Industries']",May 8,1,1,1,1,0,1,1,5,No Industry,0,0,0,0,0,0,0,0,0,Gina Raimondo,Democratic,RI,20200628,16661,1600.0,927,0,91.0,1984.0,0,20200626
32,South Carolina,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 4,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Henry McMaster,Republican,SC,20200628,33320,13456.0,716,5,954.0,2622.0,0,20200626
33,Tennessee,Open,"['Retail', 'Food and drink', 'Personal care', 'Entertainment', 'Outdoor and recreation']",April 30,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Bill Lee,Republican,TN,20200628,40172,26159.0,584,0,484.0,2564.0,0,20200626
34,Utah,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Gary Herbert,Republican,UT,20200628,21100,11931.0,167,0,289.0,1396.0,31,20200626
35,Vermont,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 15,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Phil Scott,Republican,VT,20200628,1202,946.0,56,0,15.0,,0,20200626
36,Virginia,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",June 10,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Ralph Northam,Democratic,VA,20200628,61736,8005.0,1732,8,818.0,8823.0,36,20200626
37,Washington,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 31,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Jay Inslee,Democratic,WA,20200628,31404,,1310,6,304.0,4240.0,46,20200626
38,West Virginia,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 3,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Jim Justice,Republican,WV,20200628,2817,2062.0,93,0,32.0,,0,20200626
39,Wyoming,Open,"['Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Retail']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Mark Gordon,Republican,WY,20200628,1417,1057.0,20,0,5.0,112.0,1,20200626
40,Arkansas,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Asa Hutchinson,Republican,AR,20200628,19310,13270.0,259,10,278.0,1373.0,36,20200626
41,Delaware,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 31,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,John C. Carney Jr.,Democratic,DE,20200628,11226,6665.0,507,0,78.0,,0,20200626
42,Idaho,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",April 30,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Brad Little,Republican,ID,20200628,5319,3898.0,91,1,,312.0,3,20200626
