,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count
0,Alabama,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",April 30,True,True,True,True,True,False,False,5
1,Alaska,Reopened,"['Food and drink', 'Retail', 'Personal care', 'Outdoor and recreation', 'Entertainment']",April 24,True,True,True,True,True,False,False,5
2,Arizona,Reopened,"['Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 15,True,True,True,True,True,False,False,5
3,Arkansas,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment']",Did not have a statewide stay-at-home order.,True,False,True,True,True,False,False,4
4,California,Reopened,"['Industries', 'Personal care', 'Food and drink', 'Houses of worship', 'Retail', 'Entertainment', 'Outdoor and recreation', 'Personal care']",March 19,True,True,True,True,True,True,True,7
5,Colorado,Reopened,"['Personal care', 'Retail', 'Industries', 'Outdoor and recreation', 'Food and drink']",April 26,True,True,True,True,False,True,False,5
6,Connecticut,Reopened,"['Retail', 'Personal care', 'Entertainment', 'Industries', 'Outdoor and recreation', 'Food and drink']",May 20,True,True,True,True,True,True,False,6
7,Delaware,Reopened,"['Food and drink', 'Outdoor and recreation', 'Retail', 'Entertainment', 'Personal care']",May 31,True,True,True,True,True,False,False,5
8,District of Columbia,Reopened,"['Food and drink', 'Retail', 'Entertainment', 'Outdoor and recreation', 'Personal care']",May 29,True,True,True,True,True,False,False,5
9,Florida,Reopened,"['Food and drink', 'Retail', 'Outdoor and recreation', 'Houses of worship', 'Entertainment', 'Personal care']",May 4,True,True,True,True,True,False,True,6
10,Georgia,Reopened,"['Outdoor and recreation', 'Entertainment', 'Personal care', 'Food and drink']",April 30,True,False,True,True,True,False,False,4
11,Hawaii,Reopened,"['Outdoor and recreation', 'Retail', 'Personal care', 'Industries', 'Houses of worship', 'Food and drink', 'Outdoor and recreation']",May 31,True,True,True,True,False,True,True,6
12,Idaho,Reopened,"['Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment']",April 30,True,False,True,True,True,False,True,5
13,Illinois,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Retail', 'Industries']",May 29,True,True,True,True,False,True,False,5
14,Indiana,Reopened,"['Entertainment', 'Industries', 'Houses of worship', 'Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation']",May 4,True,True,True,True,True,True,True,7
15,Iowa,Reopened,"['Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Personal care', 'Food and drink', 'Retail']",Did not have a statewide stay-at-home order.,True,True,True,True,True,False,True,6
16,Kansas,Reopened,"['Food and drink', 'Retail', 'Houses of worship', 'Industries', 'Personal care', 'Outdoor and recreation', 'Entertainment']",May 3,True,True,True,True,True,True,True,7
17,Kentucky,Reopened,"['Houses of worship', 'Industries', 'Personal care', 'Retail', 'Food and drink', 'Entertainment', 'Outdoor and recreation']",March 26,True,True,True,True,True,True,True,7
18,Louisiana,Reopened,"['Food and drink', 'Outdoor and recreation', 'Retail', 'Entertainment', 'Personal care', 'Houses of worship']",May 15,True,True,True,True,True,False,True,6
19,Maine,Reopened,"['Personal care', 'Outdoor and recreation', 'Food and drink', 'Retail', 'Houses of worship']",May 31,True,True,True,True,False,False,True,5
20,Maryland,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Houses of worship', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment', 'Retail']",May 15,True,True,True,True,True,True,True,7
21,Massachusetts,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Industries', 'Retail', 'Personal care', 'Food and drink']",May 18,True,True,True,True,False,True,True,6
22,Michigan,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Personal care', 'Food and drink', 'Entertainment']",June 1,True,True,True,True,True,True,False,6
23,Minnesota,Reopened,"['Industries', 'Retail', 'Houses of worship', 'Personal care', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",May 17,True,True,True,True,True,True,True,7
24,Mississippi,Reopened,"['Retail', 'Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",April 27,True,True,True,True,True,False,False,5
25,Missouri,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment']",May 3,True,True,True,True,True,False,False,5
26,Montana,Reopened,"['Houses of worship', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",April 26,True,True,True,True,True,False,True,6
27,Nebraska,Reopened,"['Houses of worship', 'Food and drink', 'Entertainment', 'Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,True,False,True,True,True,False,True,5
28,Nevada,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment', 'Houses of worship']",May 9,True,True,True,True,True,False,True,6
29,New Hampshire,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Food and drink', 'Houses of worship', 'Entertainment']",June 15,True,True,True,True,True,False,True,6
30,New Jersey,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Outdoor and recreation']",June 9,True,True,True,True,True,True,False,6
31,New Mexico,Reopened,"['Outdoor and recreation', 'Personal care', 'Retail', 'Industries', 'Houses of worship', 'Food and drink']",May 31,True,True,True,True,False,True,True,6
32,New York,Reopened,"['Retail', 'Houses of worship', 'Outdoor and recreation', 'Industries', 'Food and drink', 'Personal care']",May 28,True,True,True,True,False,True,True,6
33,North Carolina,Reopened,"['Retail', 'Food and drink', 'Personal care', 'Outdoor and recreation']",May 22,True,True,True,True,False,False,False,4
34,North Dakota,Reopened,"['Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",Did not have a statewide stay-at-home order.,True,False,True,True,True,False,False,4
