,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,Industries_List,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,Governor,Party,Abbreviation,June_Unemployment,April_Unemployment,March_Unemployment
0,Alabama,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",April 30,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Kay Ivey,Republican,AL,13.2,2.9,3.2
1,Alaska,Reopened,"['Food and drink', 'Retail', 'Personal care', 'Outdoor and recreation', 'Entertainment']",April 24,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Mike Dunleavy,Republican,AK,13.7,5.9,6.6
2,Arizona,Reopened,"['Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 15,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Doug Ducey,Republican,AZ,13.1,4.4,4.6
3,Arkansas,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,Asa Hutchinson,Republican,AR,10.3,3.9,4.1
4,California,Reopened,"['Industries', 'Personal care', 'Food and drink', 'Houses of worship', 'Retail', 'Entertainment', 'Outdoor and recreation']",March 19,1,1,1,1,1,1,1,6,"Manufacturing; Warehouses; Offices; Movie, TV and music production",1,1,1,1,0,0,0,0,Gavin Newsom,Democratic,CA,16.2,4.3,4.3
5,Colorado,Reopened,"['Personal care', 'Retail', 'Industries', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",April 26,1,1,1,1,1,1,0,6,Offices; Manufacturing,1,0,1,0,0,0,0,0,Jared Polis,Democratic,CO,12.2,2.9,2.8
6,Connecticut,Reopened,"['Retail', 'Personal care', 'Entertainment', 'Industries', 'Outdoor and recreation', 'Food and drink']",May 20,1,1,1,1,1,1,0,6,Offices,0,0,1,0,0,0,0,0,Ned Lamont,Democratic,CT,8.0,4.4,4.4
7,Delaware,Reopened,"['Food and drink', 'Outdoor and recreation', 'Retail', 'Entertainment', 'Personal care']",May 31,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,John C. Carney Jr.,Democratic,DE,14.8,4.0,4.2
8,District of Columbia,Reopened,"['Outdoor and recreation', 'Personal care', 'Entertainment', 'Food and drink', 'Retail']",May 29,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,,,DC,11.1,5.2,5.1
9,Florida,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Entertainment', 'Retail', 'Food and drink', 'Personal care']",May 4,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Ron DeSantis,Republican,FL,13.5,2.8,3.0
