,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,Industries_List,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,Governor,Party,Abbreviation
0,Alabama,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",April 30,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Kay Ivey,Republican,AL
1,Alaska,Reopened,"['Food and drink', 'Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Entertainment']",April 24,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Mike Dunleavy,Republican,AK
2,Arizona,Reopened,"['Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 15,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Doug Ducey,Republican,AZ
3,Arkansas,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,Asa Hutchinson,Republican,AR
4,California,Reopened,"['Industries', 'Personal care', 'Food and drink', 'Houses of worship', 'Retail', 'Entertainment', 'Outdoor and recreation']",March 19,1,1,1,1,1,1,1,6,"Manufacturing; Warehouses; Offices; Movie, TV and music production",1,1,1,1,0,0,0,0,Gavin Newsom,Democratic,CA
5,Colorado,Reopened,"['Personal care', 'Retail', 'Industries', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",April 26,1,1,1,1,1,1,0,6,Offices; Manufacturing,1,0,1,0,0,0,0,0,Jared Polis,Democratic,CO
6,Connecticut,Reopened,"['Retail', 'Personal care', 'Entertainment', 'Industries', 'Outdoor and recreation', 'Food and drink']",May 20,1,1,1,1,1,1,0,6,Offices,0,0,1,0,0,0,0,0,Ned Lamont,Democratic,CT
7,Delaware,Reopened,"['Food and drink', 'Outdoor and recreation', 'Retail', 'Entertainment', 'Personal care']",May 31,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,John C. Carney Jr.,Democratic,DE
8,District of Columbia,Reopened,"['Outdoor and recreation', 'Personal care', 'Entertainment', 'Food and drink', 'Retail', 'Houses of worship']",May 29,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,,,DC
9,Florida,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Entertainment', 'Personal care', 'Retail', 'Food and drink']",May 4,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Ron DeSantis,Republican,FL
10,Georgia,Reopened,"['Outdoor and recreation', 'Entertainment', 'Personal care', 'Food and drink', 'Entertainment']",April 30,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,Brian Kemp,Republican,GA
11,Hawaii,Reopened,"['Outdoor and recreation', 'Retail', 'Personal care', 'Industries', 'Houses of worship', 'Food and drink']",May 31,1,1,1,1,0,1,1,5,Construction in some areas; Offices in some areas,0,0,1,0,0,1,0,0,David Ige,Democratic,HI
12,Idaho,Reopened,"['Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment']",April 30,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,Brad Little,Republican,ID
13,Illinois,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Retail', 'Industries', 'Food and drink', 'Entertainment']",May 29,1,1,1,1,1,1,0,6,Manufacturing; Offices,1,0,1,0,0,0,0,0,J.B. Pritzker,Democratic,IL
14,Indiana,Reopened,"['Entertainment', 'Industries', 'Houses of worship', 'Retail', 'Food and drink', 'Personal care', 'Outdoor and recreation']",May 4,1,1,1,1,1,1,1,6,"Manufacturing, offices",1,0,1,0,0,0,0,0,Eric Holcomb,Republican,IN
15,Iowa,Reopened,"['Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Personal care', 'Food and drink', 'Retail']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Kim Reynolds,Republican,IA
16,Kansas,Reopened,"['Food and drink', 'Retail', 'Houses of worship', 'Industries', 'Personal care', 'Outdoor and recreation', 'Entertainment']",May 3,1,1,1,1,1,1,1,6,Offices,0,0,1,0,0,0,0,0,Laura Kelly,Democratic,KS
17,Kentucky,Reopened,"['Houses of worship', 'Industries', 'Personal care', 'Retail', 'Food and drink', 'Entertainment', 'Outdoor and recreation', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",March 26,1,1,1,1,1,1,1,6,"Manufacturing, construction, offices",1,0,1,0,0,1,0,0,Andy Beshear,Democratic,KY
18,Louisiana,Reopened,"['Food and drink', 'Outdoor and recreation', 'Retail', 'Entertainment', 'Personal care', 'Houses of worship']",May 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,John Bel Edwards,Democratic,LA
19,Maine,Reopened,"['Personal care', 'Outdoor and recreation', 'Houses of worship', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",May 31,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Janet T. Mills,Democratic,ME
20,Maryland,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Houses of worship', 'Personal care', 'Food and drink', 'Entertainment']",May 15,1,1,1,1,1,1,1,6,"Manufacturing; Construction, offices",1,0,1,0,0,1,0,0,Larry Hogan,Republican,MD
21,Massachusetts,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Industries', 'Personal care', 'Retail', 'Food and drink']",May 18,1,1,1,1,0,1,1,5,"Construction, manufacturing; Offices; Hotels, lodging",1,0,1,0,0,1,0,1,Charles D. Baker,Republican,MA
